样本,性别,年龄,工龄,学历,所属行业,居住区域,通勤方式,主要通勤时间,通勤距离,通勤时间,通勤费用,通勤体验,改善偏好
57,男,24,5,本科,金融,越秀区,私家车,6:00-7:00,10,8,40,成本高,更换居住地
58,女,23,4,大专,建筑/房地产,番禺区,电动车/摩托车,8:00-9:00,10,8,50,拥堵,远程办公
59,女,26,4,大专,医疗健康,天河区,步行,9:00-10:00,6,10,40,拥堵,远程办公
60,男,26,4,大专,教育科研,海珠区,自行车,7:00-8:00,6,15,30,拥堵,更换居住地
61,女,29,2,大专,医疗健康,番禺区,电动车/摩托车,9:00-10:00,5,8,40,拥堵,更换居住地
62,男,23,4,本科,医疗健康,白云区,地铁,8:00-9:00,8,20,120,拥堵,远程办公
63,女,25,3,大专,互联网/IT,天河区,步行,8:00-9:00,6,10,50,时间长,改善交通设施
64,男,24,5,大专,医疗健康,番禺区,私家车,8:00-9:00,6,9,50,拥堵,调整工作时间
65,女,24,3,本科,制造业,海珠区,自行车,7:00-8:00,8,18,40,拥堵,调整工作时间
66,女,22,5,本科,金融,越秀区,公司班车,8:00-9:00,8,9,50,拥堵,远程办公
67,女,25,1,本科,医疗健康,越秀区,电动车/摩托车,8:00-9:00,8,10,50,拥堵,改善交通设施
68,男,24,3,大专,医疗健康,番禺区,步行,6:00-7:00,10,8,40,拥堵,更换居住地
69,男,23,1,本科,政府事业单位,越秀区,自行车,6:00-7:00,10,20,50,拥堵,远程办公
70,男,26,2,大专,制造业,天河区,地铁,8:00-9:00,6,10,30,拥堵,远程办公
71,男,30,3,本科,医疗健康,天河区,步行,7:00-8:00,8,9,40,拥堵,远程办公
72,男,27,2,大专,互联网/IT,越秀区,公交,7:00-8:00,8,8,50,拥堵,更换居住地
73,女,22,5,本科,互联网/IT,天河区,步行,9:00-10:00,10,40,30,时间长,改善交通设施
74,女,23,2,本科,医疗健康,天河区,私家车,8:00-9:00,10,15,200,拥堵,更换居住地
75,女,19,0,本科,零售/贸易,番禺区,电动车/摩托车,7:00-8:00,7,8,60,拥堵,更换居住地
76,男,26,3,本科,建筑/房地产,越秀区,私家车,7:00-8:00,8,8,220,成本高,远程办公
77,男,25,2,本科,医疗健康,越秀区,自行车,7:00-8:00,8,8,40,时间长,远程办公
78,男,22,1,本科,建筑/房地产,天河区,步行,7:00-8:00,6,20,50,拥堵,远程办公
79,男,29,1,大专,医疗健康,番禺区,私家车,7:00-8:00,8,9,250,拥堵,更换居住地
80,女,25,2,本科,建筑/房地产,天河区,出租车/网约车,7:00-8:00,10,9,50,环境拥挤,调整工作时间
81,女,23,3,本科,医疗健康,白云区,电动车/摩托车,7:00-8:00,10,9,40,环境拥挤,更换居住地
82,男,25,4,大专,建筑/房地产,越秀区,地铁,9:00-10:00,8,9,140,拥堵,更换居住地
83,男,24,2,高中,医疗健康,天河区,步行,7:00-8:00,6,10,50,时间长,改善交通设施
84,男,27,2,本科,金融,白云区,步行,7:00-8:00,8,9,50,时间长,调整工作时间
85,女,27,4,大专,医疗健康,番禺区,私家车,7:00-8:00,10,9,200,成本高,调整工作时间
86,男,30,4,高中,制造业,番禺区,私家车,7:00-8:00,8,9,120,拥堵,更换居住地
87,男,22,2,本科,医疗健康,白云区,出租车/网约车,7:00-8:00,6,6,20,成本高,远程办公
88,男,30,5,大专,制造业,白云区,自行车,8:00-9:00,6,8,50,拥堵,更换居住地
89,女,26,4,本科,政府事业单位,番禺区,电动车/摩托车,7:00-8:00,10,9,50,拥堵,调整工作时间
90,女,23,1,大专,建筑/房地产,天河区,电动车/摩托车,8:00-9:00,8,9,40,拥堵,更换居住地
91,女,27,2,本科,医疗健康,海珠区,步行,7:00-8:00,8,10,50,拥堵,远程办公
92,女,30,4,大专,教育科研,天河区,电动车/摩托车,6:00-7:00,10,10,30,拥堵,远程办公
93,女,26,1,大专,互联网/IT,海珠区,公交,6:00-7:00,8,15,50,环境拥挤,更换居住地
94,男,24,1,本科,建筑/房地产,白云区,私家车,6:00-7:00,10,10,240,成本高,改善交通设施
95,男,29,3,大专,制造业,白云区,私家车,7:00-8:00,6,9,160,拥堵,远程办公
96,男,27,1,本科,建筑/房地产,白云区,地铁,7:00-8:00,8,9,40,环境拥挤,远程办公
97,男,24,4,本科,医疗健康,白云区,地铁,7:00-8:00,5,9,40,成本高,更换居住地
98,女,24,1,大专,教育科研,白云区,私家车,7:00-8:00,6,6,140,成本高,远程办公
99,男,20,1,本科,教育科研,增城区,私家车,7:00-8:00,10,9,150,拥堵,远程办公
100,女,27,3,本科,建筑/房地产,海珠区,电动车/摩托车,9:00-10:00,6,9,30,拥堵,改善交通设施
101,女,25,4,本科,零售/贸易,海珠区,自行车,8:00-9:00,8,15,40,拥堵,调整工作时间
102,男,25,3,高中,零售/贸易,海珠区,地铁,7:00-8:00,6,6,50,环境拥挤,远程办公
103,女,26,3,硕士/博士,医疗健康,天河区,地铁,7:00-8:00,8,9,30,环境拥挤,更换居住地
104,男,20,2,本科,教育科研,白云区,地铁,9:00-10:00,3,60,130,环境拥挤,调整工作时间
105,女,27,3,大专,金融,白云区,步行,7:00-8:00,8,16,50,时间长,远程办公
106,女,29,3,大专,互联网/IT,天河区,步行,6:00-7:00,5,10,20,拥堵,更换居住地
107,女,25,4,大专,金融,白云区,自行车,7:00-8:00,10,19,40,拥堵,调整工作时间
108,男,23,4,大专,制造业,白云区,出租车/网约车,8:00-9:00,10,6,20,成本高,调整工作时间
109,男,24,1,大专,制造业,番禺区,电动车/摩托车,7:00-8:00,6,10,40,拥堵,更换居住地
110,男,27,4,大专,互联网/IT,越秀区,步行,8:00-9:00,5,12,30,拥堵,更换居住地
111,男,24,3,本科,医疗健康,白云区,自行车,7:00-8:00,10,13,50,时间长,远程办公
112,男,28,4,本科,金融,白云区,地铁,7:00-8:00,6,9,40,环境拥挤,远程办公
113,女,30,3,本科,零售/贸易,越秀区,步行,8:00-9:00,10,8,30,拥堵,远程办公
114,男,30,3,本科,零售/贸易,番禺区,自行车,9:00-10:00,8,10,40,环境拥挤,远程办公
115,男,28,5,本科,零售/贸易,海珠区,公交,8:00-9:00,5,8,50,环境拥挤,更换居住地
116,男,28,1,大专,金融,天河区,自行车,6:00-7:00,10,9,50,环境拥挤,远程办公
117,女,28,3,本科,医疗健康,天河区,地铁,7:00-8:00,8,8,150,环境拥挤,更换居住地
118,女,27,5,本科,制造业,海珠区,公交,6:00-7:00,10,8,50,拥堵,更换居住地
119,男,27,1,大专,互联网/IT,白云区,私家车,7:00-8:00,8,9,50,环境拥挤,远程办公
120,女,22,5,大专,零售/贸易,越秀区,出租车/网约车,8:00-9:00,6,6,40,拥堵,调整工作时间
121,女,27,4,大专,医疗健康,天河区,私家车,8:00-9:00,5,10,50,拥堵,更换居住地
122,男,23,4,本科,互联网,天河区,自行车,6:00-7:00,10,8,50,环境拥挤,更换居住地
123,女,29,1,本科,互联网,白云区,步行,6:00-7:00,8,20,50,环境拥挤,远程办公
124,女,24,5,本科,互联网,番禺区,自行车,6:00-7:00,10,23,50,环境拥挤,远程办公
125,男,30,5,大专,金融,白云区,出租车/网约车,7:00-8:00,6,8,30,拥堵,远程办公
126,男,24,1,大专,政府事业单位,海珠区,步行,7:00-8:00,8,20,50,时间长,改善交通设施
127,男,23,3,本科,政府事业单位,越秀区,公交,6:00-7:00,8,8,40,环境拥挤,更换居住地
128,男,25,1,本科,制造业,海珠区,自行车,7:00-8:00,8,9,50,环境拥挤,改善交通设施
129,女,26,4,大专,教育科研,番禺区,私家车,7:00-8:00,6,9,50,成本高,远程办公
130,女,28,2,硕士/博士,互联网/IT,海珠区,自行车,8:00-9:00,8,10,50,环境拥挤,调整工作时间
131,女,26,3,大专,政府事业单位,番禺区,私家车,8:00-9:00,8,9,50,成本高,更换居住地
132,女,29,3,大专,政府事业单位,白云区,出租车/网约车,6:00-7:00,6,9,50,拥堵,调整工作时间
133,男,26,4,大专,医疗健康,番禺区,地铁,8:00-9:00,6,8,20,拥堵,更换居住地
134,女,25,4,大专,互联网/IT,海珠区,步行,6:00-7:00,10,30,50,环境拥挤,更换居住地
135,女,29,4,本科,医疗健康,番禺区,公交,7:00-8:00,6,10,40,环境拥挤,更换居住地
136,女,23,1,大专,金融,天河区,出租车/网约车,8:00-9:00,8,10,50,拥堵,改善交通设施
137,女,30,4,本科,医疗健康,白云区,电动车/摩托车,8:00-9:00,8,8,30,拥堵,远程办公
138,女,24,1,大专,金融,白云区,地铁,6:00-7:00,10,15,100,环境拥挤,调整工作时间
139,男,25,5,本科,政府事业单位,天河区,自行车,7:00-8:00,8,8,50,环境拥挤,调整工作时间
140,男,28,1,本科,医疗健康,天河区,地铁,7:00-8:00,8,15,40,环境拥挤,更换居住地
141,男,23,3,大专,制造业,越秀区,地铁,7:00-8:00,17,25,100,环境拥挤,远程办公
142,男,28,1,大专,制造业,天河区,出租车/网约车,6:00-7:00,8,9,40,环境拥挤,调整工作时间
143,男,22,5,本科,互联网/IT,番禺区,私家车,6:00-7:00,6,6,40,成本高,更换居住地
144,女,27,2,本科,政府事业单位,海珠区,电动车/摩托车,9:00-10:00,8,10,50,拥堵,更换居住地
145,女,29,2,本科,政府事业单位,番禺区,公交,6:00-7:00,10,10,30,环境拥挤,远程办公
146,男,26,2,大专,政府事业单位,海珠区,地铁,7:00-8:00,6,6,80,拥堵,远程办公
147,男,26,5,大专,制造业,番禺区,出租车/网约车,6:00-7:00,10,10,40,拥堵,改善交通设施
148,女,28,5,本科,医疗健康,天河区,电动车/摩托车,7:00-8:00,10,10,50,拥堵,更换居住地
149,男,28,4,本科,政府事业单位,天河区,出租车/网约车,7:00-8:00,8,6,50,拥堵,远程办公
150,男,24,4,大专,政府事业单位,天河区,地铁,7:00-8:00,5,9,90,拥堵,调整工作时间
151,男,26,2,大专,金融,海珠区,出租车/网约车,7:00-8:00,8,6,50,环境拥挤,调整工作时间
152,男,22,5,本科,政府事业单位,番禺区,自行车,7:00-8:00,8,9,40,时间长,远程办公
153,女,25,4,大专,制造业,白云区,公交,7:00-8:00,8,10,50,环境拥挤,更换居住地
154,男,28,5,大专,金融,番禺区,私家车,8:00-9:00,10,9,40,拥堵,远程办公
155,男,30,2,大专,制造业,海珠区,自行车,8:00-9:00,8,10,40,拥堵,调整工作时间
156,男,24,1,本科,金融,白云区,自行车,8:00-9:00,5,10,20,环境拥挤,远程办公
157,女,25,3,高中,金融,番禺区,电动车/摩托车,9:00-10:00,8,10,50,拥堵,调整工作时间
158,男,22,5,本科,互联网/IT,番禺区,地铁,6:00-7:00,10,10,40,环境拥挤,调整工作时间
159,女,23,1,大专,金融,海珠区,电动车/摩托车,8:00-9:00,5,9,40,拥堵,远程办公
160,男,27,2,本科,互联网/IT,天河区,地铁,7:00-8:00,20,37,80,环境拥挤,远程办公
161,男,30,5,大专,金融,天河区,地铁,8:00-9:00,8,10,70,环境拥挤,更换居住地
162,男,27,2,大专,金融,白云区,地铁,8:00-9:00,5,6,80,拥堵,更换居住地
163,男,30,5,大专,制造业,白云区,步行,7:00-8:00,10,6,50,时间长,更换居住地
164,男,26,1,大专,金融,天河区,地铁,7:00-8:00,10,9,80,环境拥挤,远程办公
165,女,24,4,大专,制造业,越秀区,私家车,7:00-8:00,10,10,40,拥堵,远程办公
166,女,22,1,本科,制造业,天河区,地铁,6:00-7:00,10,10,30,拥堵,远程办公
167,男,26,5,大专,制造业,白云区,地铁,6:00-7:00,10,10,77,拥堵,调整工作时间
168,女,23,3,本科,制造业,越秀区,地铁,7:00-8:00,8,10,67,拥堵,改善交通设施
169,女,24,2,大专,制造业,天河区,私家车,7:00-8:00,8,8,150,成本高,更换居住地
170,男,28,2,大专,医疗健康,天河区,出租车/网约车,6:00-7:00,6,9,30,成本高,远程办公
171,男,23,1,大专,医疗健康,天河区,公交,6:00-7:00,8,9,50,环境拥挤,远程办公
172,男,23,5,硕士/博士,互联网/IT,海珠区,地铁,6:00-7:00,6,10,30,环境拥挤,更换居住地
173,男,30,2,大专,制造业,白云区,地铁,8:00-9:00,8,10,40,环境拥挤,远程办公
174,男,23,1,本科,教育科研,天河区,地铁,8:00-9:00,6,9,50,环境拥挤,远程办公
175,男,25,3,本科,教育科研,番禺区,私家车,9:00-10:00,6,10,50,拥堵,远程办公
176,女,28,4,大专,医疗健康,白云区,自行车,7:00-8:00,6,8,40,拥堵,调整工作时间
177,女,22,5,大专,制造业,番禺区,自行车,9:00-10:00,8,9,20,拥堵,更换居住地
178,女,27,3,本科,医疗健康,海珠区,地铁,8:00-9:00,20,38,30,环境拥挤,远程办公
179,男,22,2,大专,金融,天河区,公司班车,7:00-8:00,10,9,50,环境拥挤,远程办公
180,男,30,3,本科,制造业,海珠区,公交,7:00-8:00,8,8,50,环境拥挤,远程办公
181,男,29,2,大专,制造业,越秀区,步行,6:00-7:00,10,25,50,时间长,远程办公
182,女,30,3,大专,制造业,白云区,自行车,6:00-7:00,10,10,50,拥堵,更换居住地
183,女,26,3,大专,金融,海珠区,私家车,7:00-8:00,10,10,20,环境拥挤,更换居住地
184,男,26,5,大专,医疗健康,白云区,地铁,7:00-8:00,10,9,50,拥堵,远程办公
185,男,26,5,本科,金融,越秀区,地铁,7:00-8:00,8,10,20,环境拥挤,更换居住地
186,男,27,1,本科,医疗健康,白云区,自行车,7:00-8:00,10,28,50,拥堵,远程办公
187,女,30,2,本科,互联网/IT,白云区,地铁,7:00-8:00,10,9,100,环境拥挤,调整工作时间
188,女,22,4,大专,教育科研,海珠区,地铁,6:00-7:00,10,10,80,环境拥挤,更换居住地
189,女,29,5,大专,医疗健康,越秀区,地铁,6:00-7:00,10,10,60,环境拥挤,调整工作时间
190,女,30,1,大专,金融,番禺区,地铁,8:00-9:00,10,10,50,拥堵,改善交通设施
191,女,26,5,大专,医疗健康,番禺区,地铁,8:00-9:00,10,10,80,拥堵,调整工作时间
192,男,23,3,高中,制造业,天河区,地铁,7:00-8:00,6,6,80,环境拥挤,远程办公
193,女,29,2,高中,制造业,海珠区,自行车,8:00-9:00,10,8,50,环境拥挤,更换居住地
194,男,25,3,本科,制造业,番禺区,电动车/摩托车,8:00-9:00,10,10,50,环境拥挤,更换居住地
195,女,29,5,本科,制造业,白云区,电动车/摩托车,8:00-9:00,5,9,30,拥堵,更换居住地
196,女,24,2,大专,医疗健康,番禺区,电动车/摩托车,8:00-9:00,8,10,30,环境拥挤,远程办公
197,女,24,2,大专,医疗健康,越秀区,地铁,8:00-9:00,6,9,50,拥堵,改善交通设施
198,女,26,1,大专,制造业,天河区,地铁,8:00-9:00,8,8,60,拥堵,远程办公
199,女,22,5,本科,制造业,天河区,公司班车,7:00-8:00,6,10,50,环境拥挤,改善交通设施
200,男,25,3,本科,零售/贸易,白云区,自行车,9:00-10:00,8,10,30,环境拥挤,更换居住地
201,女,23,1,大专,零售/贸易,天河区,公交,7:00-8:00,8,10,40,拥堵,调整工作时间
202,女,22,5,大专,医疗健康,越秀区,公交,8:00-9:00,5,6,50,拥堵,远程办公
203,男,29,5,高中,零售/贸易,白云区,步行,7:00-8:00,10,27,50,拥堵,更换居住地
204,女,22,4,大专,互联网/IT,越秀区,地铁,7:00-8:00,10,10,70,环境拥挤,远程办公
205,男,25,2,大专,医疗健康,白云区,步行,6:00-7:00,8,15,40,拥堵,更换居住地
206,男,29,5,大专,制造业,越秀区,自行车,7:00-8:00,6,9,50,拥堵,调整工作时间
207,女,23,5,本科,教育科研,天河区,电动车/摩托车,7:00-8:00,8,9,30,拥堵,远程办公
208,男,23,2,大专,互联网/IT,番禺区,电动车/摩托车,8:00-9:00,8,9,40,拥堵,更换居住地
209,女,28,3,大专,金融,海珠区,地铁,7:00-8:00,10,8,40,拥堵,更换居住地
210,男,23,4,大专,制造业,海珠区,公交,9:00-10:00,10,10,50,拥堵,远程办公
211,女,27,1,本科,零售/贸易,白云区,私家车,8:00-9:00,10,8,40,拥堵,远程办公
212,女,26,5,本科,互联网/IT,番禺区,公交,7:00-8:00,6,8,30,拥堵,改善交通设施
213,男,28,4,大专,制造业,天河区,地铁,6:00-7:00,10,8,50,环境拥挤,调整工作时间
214,男,26,4,本科,互联网/IT,白云区,私家车,6:00-7:00,8,9,50,拥堵,调整工作时间
215,男,26,2,硕士/博士,零售/贸易,海珠区,自行车,7:00-8:00,10,9,40,环境拥挤,远程办公
216,女,26,2,本科,零售/贸易,天河区,私家车,7:00-8:00,10,9,150,拥堵,更换居住地
217,男,24,2,大专,医疗健康,白云区,出租车/网约车,7:00-8:00,6,10,50,拥堵,更换居住地
218,女,30,2,大专,制造业,白云区,私家车,6:00-7:00,10,10,140,拥堵,远程办公
219,女,30,2,本科,医疗健康,天河区,公交,6:00-7:00,8,10,40,拥堵,改善交通设施
220,女,29,1,大专,制造业,天河区,私家车,6:00-7:00,10,8,20,拥堵,更换居住地
221,女,25,3,本科,制造业,越秀区,自行车,7:00-8:00,5,9,50,拥堵,远程办公
222,男,23,3,大专,政府事业单位,白云区,公交,6:00-7:00,10,8,30,环境拥挤,远程办公
223,男,30,2,本科,教育科研,白云区,私家车,7:00-8:00,10,9,120,成本高,远程办公
224,女,30,2,本科,制造业,天河区,电动车/摩托车,7:00-8:00,8,6,50,拥堵,更换居住地
225,女,25,3,大专,医疗健康,越秀区,地铁,7:00-8:00,5,10,40,拥堵,调整工作时间
226,男,28,1,硕士/博士,教育科研,番禺区,地铁,8:00-9:00,10,9,50,环境拥挤,远程办公
227,男,26,4,大专,医疗健康,越秀区,电动车/摩托车,6:00-7:00,8,10,30,环境拥挤,调整工作时间
228,女,27,2,本科,互联网/IT,白云区,电动车/摩托车,6:00-7:00,8,10,30,拥堵,远程办公
229,女,25,2,本科,教育科研,白云区,地铁,6:00-7:00,10,9,30,拥堵,远程办公
230,男,25,4,高中,金融,白云区,公交,7:00-8:00,8,10,40,环境拥挤,改善交通设施
231,男,24,2,大专,金融,番禺区,自行车,7:00-8:00,10,10,30,拥堵,调整工作时间
232,女,22,3,硕士/博士,金融,天河区,自行车,7:00-8:00,6,10,20,拥堵,更换居住地
233,女,23,2,大专,金融,白云区,公交,7:00-8:00,6,6,30,拥堵,远程办公
234,女,27,4,本科,政府事业单位,白云区,私家车,9:00-10:00,10,10,130,拥堵,更换居住地
235,女,25,4,高中,制造业,海珠区,出租车/网约车,8:00-9:00,10,9,50,拥堵,调整工作时间
236,女,24,1,大专,互联网/IT,白云区,地铁,8:00-9:00,5,10,50,拥堵,调整工作时间
237,女,27,4,大专,金融,番禺区,步行,8:00-9:00,8,18,50,环境拥挤,更换居住地
238,女,26,2,本科,金融,越秀区,出租车/网约车,6:00-7:00,10,9,50,拥堵,远程办公
239,男,27,3,高中,金融,海珠区,出租车/网约车,6:00-7:00,8,10,20,成本高,调整工作时间
240,女,26,5,本科,金融,番禺区,自行车,8:00-9:00,10,9,50,环境拥挤,远程办公
241,女,27,2,本科,互联网/IT,越秀区,私家车,7:00-8:00,15,9,50,拥堵,远程办公
242,女,26,2,本科,教育科研,天河区,私家车,6:00-7:00,12,8,50,拥堵,调整工作时间
243,女,24,3,本科,教育科研,番禺区,私家车,8:00-9:00,10,8,50,拥堵,远程办公
244,男,28,4,本科,教育科研,越秀区,出租车/网约车,7:00-8:00,12,9,150,成本高,更换居住地
245,男,25,3,本科,医疗健康,越秀区,地铁,7:00-8:00,14,25,30,拥堵,改善交通设施
246,女,29,1,硕士/博士,互联网/IT,海珠区,自行车,7:00-8:00,8,8,40,环境拥挤,调整工作时间
247,女,24,4,本科,教育科研,番禺区,电动车/摩托车,6:00-7:00,20,9,50,环境拥挤,调整工作时间
248,男,26,5,本科,教育科研,天河区,出租车/网约车,8:00-9:00,8,8,140,拥堵,更换居住地
249,女,23,2,本科,互联网/IT,越秀区,出租车/网约车,9:00-10:00,8,8,150,拥堵,远程办公
250,女,28,5,本科,医疗健康,越秀区,私家车,7:00-8:00,10,10,140,成本高,远程办公
251,女,29,5,大专,政府事业单位,白云区,步行,7:00-8:00,18,10,50,时间长,远程办公
252,女,23,4,本科,制造业,天河区,步行,7:00-8:00,10,30,50,拥堵,更换居住地
253,女,25,4,大专,政府事业单位,番禺区,地铁,7:00-8:00,16,9,30,拥堵,更换居住地
254,女,22,5,大专,教育科研,番禺区,步行,6:00-7:00,15,40,50,拥堵,远程办公
255,男,29,4,高中,金融,天河区,出租车/网约车,7:00-8:00,10,10,40,成本高,改善交通设施
256,女,28,4,硕士/博士,医疗健康,越秀区,步行,7:00-8:00,13,45,40,时间长,更换居住地
257,女,30,2,高中,金融,越秀区,出租车/网约车,8:00-9:00,6,10,40,成本高,远程办公
258,男,30,4,本科,互联网/IT,天河区,地铁,7:00-8:00,10,10,50,拥堵,更换居住地
259,女,26,1,本科,教育科研,番禺区,出租车/网约车,6:00-7:00,8,8,40,成本高,更换居住地
260,男,26,1,本科,制造业,天河区,电动车/摩托车,8:00-9:00,6,10,50,拥堵,改善交通设施
261,女,30,5,大专,教育科研,白云区,地铁,7:00-8:00,8,9,40,拥堵,更换居住地
262,男,30,3,高中,互联网/IT,番禺区,公交,7:00-8:00,10,6,50,环境拥挤,远程办公
263,女,26,3,大专,互联网/IT,番禺区,私家车,7:00-8:00,8,10,120,拥堵,调整工作时间
264,女,22,3,本科,互联网/IT,番禺区,私家车,7:00-8:00,10,10,100,成本高,调整工作时间
