序号,性别,性别,月生活费,手机购买价格,笔记本电脑购买价格,笔记本电脑使用月数,笔记本电脑用户类型 ,笔记本电脑品牌偏好设置
92,2,女,1800,6100,3000,48,日常办公,主流商务
93,2,女,1500,1500,2300,20,日常办公,高性价比
94,2,女,1500,9000,5000,9,视觉创作,高性价比
95,2,女,1700,2900,3700,6,日常办公,主流商务
96,2,女,18800,4900,6500,24,日常办公,主流商务
97,2,女,2000,3300,5500,24,游戏玩家,主流商务
98,2,女,1500,12999,3000,18,视觉创作,主流商务
99,2,女,1000,2600,4299,5,日常办公,主流商务
100,2,女,1500,2700,3200,18,日常办公,主流商务
101,2,女,1600,6000,7000,20,日常办公,主流商务
102,1,男,2200,4000,8000,6,日常办公,主流商务
103,1,男,1511,6115,6715,18,游戏玩家,高端设计
104,1,男,1500,1614,2599,13,日常办公,高性价比
105,2,女,2500,7799,8599,8,视觉创作,高端设计
106,2,女,2500,8100,7200,6,日常办公,主流商务
107,1,男,2200,5800,6000,18,日常办公,高性价比
108,1,男,3000,6000,8000,9,游戏玩家,专业游戏
109,2,女,3000,5000,7000,6,日常办公,高端设计
110,2,女,2000,8600,5000,13,日常办公,主流商务
111,2,女,3500,12000,32000,6,日常办公,高端设计
112,2,女,1900,9999,11999,4,游戏玩家,主流商务
113,2,女,4000,8699,4500,42,日常办公,高端设计
114,2,女,30000,9000,10000,6,日常办公,高端设计
115,2,女,5000,10000,8000,36,日常办公,高端设计
116,2,女,2500,5500,4500,4,日常办公,主流商务
117,2,女,2500,9299,6255,12,日常办公,主流商务
118,2,女,2500,7600,8500,6,软件开发,高端设计
119,2,女,5500,13999,10000,6,日常办公,高端设计
120,2,女,3500,8000,6000,9,日常办公,高端设计
121,1,男,3000,8999,9599,8,游戏玩家,主流商务
122,2,女,3000,12000,6399,8,日常办公,主流商务
123,2,女,2500,1500,7699,6,日常办公,主流商务
124,1,男,3000,4000,9000,6,游戏玩家,专业游戏
125,2,女,15000,5100,5300,8,日常办公,高端设计
126,2,女,3000,6900,5600,18,日常办公,主流商务
127,1,男,1500,1208,9900,19,日常办公,主流商务
128,2,女,2500,2999,6600,7,游戏玩家,专业游戏
129,1,男,1500,7999,5600,6,游戏玩家,主流商务
130,2,女,2000,3200,5500,6,日常办公,主流商务
131,2,女,1500,6000,7500,2,视觉创作,专业游戏
132,2,女,2500,5999,3599,4,日常办公,高端设计
133,1,男,2400,10000,10000,16,游戏玩家,专业游戏
134,1,男,2200,2600,10000,6,游戏玩家,高性价比
135,2,女,5500,12500,7500,6,日常办公,主流商务
136,1,男,2500,6099,8999,6,游戏玩家,主流商务
137,1,男,2000,9900,16900,6,游戏玩家,专业游戏
138,2,女,2200,5999,5200,6,日常办公,主流商务
139,2,女,3000,12800,10800,6,日常办公,高端设计
140,2,女,2500,9799,10500,6,日常办公,高端设计
141,2,女,3500,9999,13000,6,游戏玩家,专业游戏
142,2,女,8000,9000,10000,7,日常办公,高端设计
143,2,女,4200,3500,7500,4,软件开发,专业游戏
144,2,女,2000,2900,4800,1,日常办公,主流商务
145,1,男,2000,5000,12000,4,游戏玩家,专业游戏
146,1,男,2200,3400,5500,15,日常办公,主流商务
147,2,女,2000,2200,2300,6,软件开发,高性价比
148,2,女,2500,6000,5679,6,日常办公,主流商务
149,2,女,3000,9000,7400,8,日常办公,主流商务
150,1,男,2000,6800,4800,42,日常办公,高端设计
151,2,女,73600,5000,7600,6,日常办公,高端设计
152,2,女,2500,8999,5899,9,日常办公,高端设计
153,2,女,3000,13999,12499,6,日常办公,高端设计
154,2,女,3500,2500,5500,8,日常办公,高端设计
155,2,女,1000,5900,10000,6,游戏玩家,专业游戏
156,1,男,3000,10499,12999,15,游戏玩家,主流商务
157,2,女,6000,3000,4705,8,日常办公,主流商务
